X,ERR525691,ERR525707,ERR525711,ERR525724,ERR525736,ERR525740,ERR525745,ERR525749,ERR525762,ERR525766,ERR525782,ERR525786,ERR525808,ERR525818,ERR525834,ERR525838,ERR525846,ERR525850,ERR525854,ERR525862,ERR525866,ERR525874,ERR525878,ERR525883,ERR525888,ERR525892,ERR525894,ERR525900,ERR525927,ERR525930,ERR525934,ERR525938,ERR525966,ERR525970,ERR525982,ERR525986,ERR525990,ERR525994,ERR525998,ERR526014,ERR526022,ERR526030,ERR526034,ERR526038,ERR526046,ERR526074,ERR526078,ERR526082
20298_3_4,0,0,0.426020047072371,0,0.148185030446082,0.140958986933057,0.765080902542451,0,0,0,0.3309382809068,0.680150217995971,0,0,0,0,0,0,0.151239046998828,0,0,0,0.119904469170829,1.97382978667674,0,0,0,0,0,0.137577038807622,0.367538308671508,0,0.156510907756222,0,0,0,0,0.812204185427432,0,0,0,0,0,0.217973028651276,0,0,0,0
20298_3_57,0,0,0,0,0,0,0,0,0.134580284829644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153162446563987,0,0,0,0,0,0,0,0,0,0,0.18931478250516,0,0,0,0,0,0,0,0
20298_3_63,0,0.2298112107972,0.428618679545026,0.413315047643244,0.132306398645924,0,0,0.274820732878207,0,0,0,0.177053096058712,0,0.136291140315648,0,0.242129609843216,0.237855737155961,0.205882014117923,0.523833142752617,0.192269873235053,0.190752338425467,0.191102011052541,0,0,0,0.37743475111207,0.304927315649126,0,0.159309192530908,0,0,0,0,0,0,0,0.180178425450872,0,0,0,0,0,0,0.319689273640446,0.494327895435306,0.13492385986875,0.216455234782676,0
20298_3_66,0,0,0,0,0,0,0,0,0,0,0,0,0.13393573842162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113992612725625,0,0,0,0,0,0,0.117652818766342
20298_3_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190175323233337,0,0,0,0,0,2.70036051260576,0,0,0,0,0,0,0.165910169863707,0
20427_4_22,0,0,0,0,0,0,0,0,1.27379711288308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06874788879709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183402078105878,0.19087601923479,0,0,0,0,0,0.541138086956691,0
21673_4_22,0,0,0,0.129157356693728,0,0,0,0,0,0,0,0,0.367948605892141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21673_4_33,0,0.289423893297225,0,0.353033943703961,0.128345478020793,0,0,0,0.492639239786404,0,0,0.897280503022755,0,0.18945490884039,0.532718974756841,0.804137281038722,0.323041341261246,1.27371532613733,0.133366785667558,0.175205449247034,0.240903773535486,0.767876022584975,0,0,0,1.07240205035957,0.245543022282984,0,0.860845746445765,0,0.199230631157987,0,0.412076529068374,0,0,0.147842457618116,0.18681004885721,0,0.163825198251802,2.47630013536981,0,0,0,0.20779915329498,8.45028526609089,0.188332687375481,0.178862039284586,0
21673_4_37,0,0,0,0,0,0,0.193007798108446,0,0,0,0,0,0.208355139404791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21673_4_38,0,0,0.171449866870981,0,0,0,0.205506638753368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161437242291234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21673_4_43,0,0,0,0.783573807647473,0.195820925846556,0,0,0,0,0.20777392837366,0.32120512155369,0,0,0,0,0,0,0.121378810222351,0,0,0,0,0.123177353882062,0,0,0,0,0,0,0,0,0.16486382404126,0,0.17856112971249,0.232001995197046,0,0,0,0,0,0.206776778869608,0,0,0.14386354942427,0,0,0,0.266416891010873
21673_4_46,0,0.441591632816395,0,0.513775883393171,0.201109919857761,0,0,0.305762071538035,0.215247579720263,0.335380296262282,0,5.4518456132327,1.01762865762004,3.07343206205166,0.143672194442109,0.34064164290521,0.834522371455947,6.37404571714094,0.235108179379405,0.174059416742801,4.31656111960953,0.291263318911542,0,0,0,0.29948557870361,0.271232244556847,0.281511324254081,0.284582285825375,0,0.395020049560658,0.655393009942852,0.289252909842252,0,0.15873526676151,0.381267118150403,0.155472150138099,0,0.360405921114135,2.92225605527905,0,0,0,0.24557979441344,0.692528003063803,0.2698477197375,0.274137787255045,0
21673_4_5,0,0.221194131903915,0,0.645809795915268,0.186559361443676,0,0,0.226618632115426,0,0,0,0.205115262297591,0.328430908833896,1.97162082383918,0,0.14836257677954,0,0.238149624198124,0.166365221192213,0.143345745629376,0,0.352280992479173,0,0.388365701507329,0,0.228098940633992,0.311352464203678,0,0.129057560419198,0,0.1923601959357,0,0.142648647214742,0,0,0.122548516719534,0.188618673422575,0,0.257441296367087,0.144624479002119,0.12725067948986,0,0,0.177288781512988,0.312449067836527,0.167710522043429,0.222937238785253,0
