TranslatedReaction	VMHreaction
rxn01923	ACOADH2
rxn00895	ACOAGAMAT
rxn05824	ACOAH
rxn00170	ACOAHi
rxn06178	ACOANAT
rxn14300	ACOAOAT
rxn00668	ACOAR
rxn06517	ACOASL
rxn05349	ACOATA
rxn30336	ACOATA
rxn31225	ACOATA
rxn14268	ACOATOAT
rxn05012	ACOCT
rxn30596	ACODA
rxn00469	ACODAr
rxn27670	ACODAr
rxn29983	ACODAr
rxn12788	ACON_Ctex
rxn01606	ACONIs
rxn04016	ACONMT
rxn00973	ACONT
rxn30082	ACONT
rxn34190	ACONT
rxn35518	ACONT
rxn00974	ACONTa
rxn01388	ACONTb
rxn34142	ACORNt
rxn01637	ACOTA
rxn09477	ACOX22
rxn00391	ACP1_FMN_
rxn12933	ACPACT
rxn11677	ACPMEARDXDS
rxn06022	ACPpds
rxn09532	ACPS
rxn06023	ACPS1
rxn09788	ACRNtr
rxn09867	ACRNtr
rxn03799	ACRYLCOAT
rxn00175	ACS
rxn00674	ACS2
rxn03356	ACSOMT
rxn02244	ACSRTNMT
rxn05488	ACt2r
rxn08061	ACt2r
rxn01685	ACTD
rxn00163	ACTLDCCL
rxn05490	ACTNabc
rxn09953	ACTNDH
rxn11319	ACTNdiff
rxn02115	ACTNR
rxn03850	ACTNT
rxn11676	ACTPO
rxn08063	ACtr
rxn09787	ACtr
rxn09866	ACtr
rxn10904	ACtr
rxn28609	ACtr
rxn31359	ACtr
rxn01103	ACYP
rxn00227	ACYP_2
rxn01137	ADA
rxn29985	ADA
rxn31888	ADA
rxn31938	ADA
rxn11584	ADAPH
rxn00995	ADCi
rxn03841	ADCL
rxn03541	ADCOBASr
rxn05054	ADCPS1
rxn04384	ADCPS2
rxn01257	ADCS
rxn03540	ADCYRS
rxn00926	ADD
rxn14293	ADDGAL
rxn03944	ADDMPPMT
rxn08065	ADEt
rxn09786	ADEt
rxn10918	ADEt
rxn33249	ADEt
rxn05491	ADEt2r
rxn08064	ADEt2r
rxn02070	ADHBPTOR
rxn02069	ADHCOR
rxn07519	ADHOR
rxn15748	ADHS
rxn00097	ADK1
rxn11199	ADK1
rxn10052	ADK2
rxn08066	ADK3
rxn08067	ADK4
rxn10427	ADKd
rxn00127	ADMDC
rxn05318	ADNCNT3tc
rxn08068	ADNCNT3tc
rxn12381	ADNCNT3tc
rxn00065	ADNCYC
rxn00134	ADNK1
rxn10768	ADNK3
rxn10769	ADNK4
rxn08069	ADNt
rxn11000	ADNt
rxn32952	ADNt
rxn34481	ADNt
rxn00927	ADNUC
rxn03536	ADOCBIK
rxn04413	ADOCBIK2
rxn05187	ADOCBLabc
rxn08070	ADOCBLabc
rxn03538	ADOCBLS
rxn04043	ADP1P
rxn00697	ADPGLC
rxn01936	ADPMAN
rxn00775	ADPRDP
rxn14038	ADPRDP
rxn01375	ADPRDPTS
rxn38757	ADPRIBte
rxn38762	ADPRIBte
rxn00139	ADPT
rxn03372	ADSELK
rxn00361	ADSK
rxn00800	ADSL1r
rxn27708	ADSL1r
rxn27691	ADSL2
rxn35572	ADSL2
rxn35698	ADSL2
rxn03136	ADSL2r
rxn00381	ADSO4SH
rxn00838	ADSS
rxn06253	ADTLOR
rxn10936	ADtr
rxn40411	ADXFTSNT
rxn02612	AEDBDHL
rxn02900	AEPPT
rxn06328	AFFH
rxn06752	AGAGGCERH
rxn10431	AGAID
rxn03010	AGALGT
rxn01484	AGDC
rxn03504	AGDC2
rxn06208	AGE
rxn06736	AGGGCER
rxn03162	AGGGCGT
rxn07100	AGLPET
rxn08073	AGM3PA
rxn08076	AGM4PA
rxn08077	AGM4PCP
rxn08078	AGM4PH
rxn01029	AGMD
rxn08080	AGMH
rxn03511	AGMHE
rxn29988	AGMHE
rxn00890	AGMIGH
rxn00858	AGMT
rxn12597	AGMt2r
rxn01310	AGOR
rxn30433	AGOR
rxn06386	AGPAT
rxn08083	AGPAT120
rxn08084	AGPAT140
rxn08085	AGPAT141
rxn08086	AGPAT160
rxn08087	AGPAT161
rxn08088	AGPAT180
rxn08089	AGPAT181
rxn06313	AGPCAT
rxn06240	AGPE
rxn00700	AGPGT
rxn02465	AGPR
rxn08082	AGRMte
rxn33494	AGRMte
rxn02668	AGSTOR
rxn00272	AGTi
rxn03198	AHADDI
rxn00141	AHC
rxn03326	AHCVL
rxn00451	AHCYSMETMT
rxn00143	AHCYSNS_r
rxn09785	AHCYSte
rxn09828	AHCYSte
rxn32485	AHCYSte
rxn13778	AHCYSts
rxn12092	AHDNMT
rxn06737	AHEXASE
rxn02922	AHEXASE2
rxn00016	AHEXASE3
rxn10432	AHGDH
rxn09997	AHMMPS
rxn03797	AHNTTA
rxn02379	AHPPM
rxn00952	AHSERL2
rxn06078	AHSERL3
rxn02851	AHTCOR
rxn03039	AICAMPRT
rxn03137	AICART
rxn04784	AICART2
rxn10284	AIHDUDPMG
rxn10275	AIHDUPDG
rxn05452	AIHPDCOATA
rxn05451	AIPDCOATA
rxn10278	AIPDUDPG
rxn10287	AIPDUDPMG
rxn10053	AIRC1
rxn05114	AIRC2
rxn05115	AIRC3
rxn05229	AIRC4
rxn03235	AIZLCS
rxn01243	AKGDa
rxn09699	AKGMAL
rxn29237	AKGMAL
rxn34087	AKGMAL
rxn08094	AKGS
rxn05493	AKGt2r
rxn08095	AKGt2r
rxn09827	AKGt2r
rxn08096	AKGte
rxn10923	AKGte
rxn13220	AKGte
rxn30603	AKGte
rxn31174	AKGte
rxn33711	AKGte
rxn04512	AKMT
rxn11004	AKO
rxn03167	AKP1
rxn03291	AKR1D
rxn03294	AKR1D2
rxn08302	ALA_Dtex
rxn08104	ALA_Ltex
rxn10991	ALA-DTDe
rxn08097	ALAabc
rxn10170	ALAabc
rxn05953	ALAAH
rxn00851	ALAALA
rxn08098	ALAALAabc
rxn07466	ALAALAD
rxn12633	ALAASP1c
rxn05533	ALAASPabc
rxn12628	ALAASPt2r
rxn11320	ALAC_St
rxn13114	ALAC_St
rxn32510	ALAC_St
rxn32770	ALAC_St
rxn02187	ALACI
rxn15511	ALACI
rxn32411	ALACI
rxn10438	ALACt2r
rxn00278	ALAD_R
rxn12639	ALAGLN1c
rxn05540	ALAGLNabc
rxn12568	ALAGLNt2r
rxn12640	ALAGLU1c
rxn05541	ALAGLUabc
rxn08100	ALAGLUE
rxn12523	ALAGLUt2r
rxn12641	ALAGLY1c
rxn05542	ALAGLYabc
rxn12625	ALAGLYt2r
rxn12642	ALAHIS1c
rxn05543	ALAHISabc
rxn12594	ALAHISt2r
rxn12643	ALALEU1c
rxn05544	ALALEUabc
rxn12558	ALALEUt2r
rxn00807	ALAM
rxn10921	ALAPAT4te
rxn13221	ALAPAT4te
rxn29212	ALAPAT4te
rxn31555	ALAPAT4te
rxn33671	ALAPAT4te
rxn10191	ALAPGPL
rxn00283	ALAR
rxn19085	ALAR
rxn38030	ALAR
rxn00599	ALAS
rxn34465	ALAt2
rxn05496	ALAt2r
rxn08101	ALAt2r
rxn34486	ALAt2r
rxn05215	ALAt4r
rxn08102	ALAt4r
rxn34464	ALAt4r
rxn34485	ALAt4r
rxn00849	ALATA_D
rxn00848	ALATA_D2
rxn11174	ALATA_D3
rxn00191	ALATA_L
rxn27697	ALATA_L
rxn27698	ALATA_L
rxn31211	ALATA_L
rxn08103	ALATA_L2
rxn12644	ALATHR1c
rxn05545	ALATHRabc
rxn12616	ALATHRt2r
rxn00430	ALCD1
rxn00763	ALCD19
rxn01130	ALCD20y
rxn01831	ALCD22_D
rxn01835	ALCD22_L
rxn00543	ALCD2x
rxn00536	ALCD2y
rxn02527	ALCD4
rxn01710	ALCDPPAL
rxn00429	ALDD1
rxn01937	ALDD20x
rxn00506	ALDD2x
rxn00507	ALDD2y
rxn08110	ALDD3y
rxn08111	ALDD4
rxn05881	ALDOR
rxn06252	ALDTLOR
rxn00638	ALGD
rxn00743	ALKP
rxn05185	ALLabc
rxn08112	ALLabc
rxn08113	ALLPI
rxn01746	ALLTAH
rxn35433	ALLTAH
rxn08114	ALLTAMH
rxn01747	ALLTAMH2
rxn01748	ALLTN
rxn02761	ALLTNR
rxn04457	ALLTNRS
rxn04456	ALLTNS
rxn30865	ALLTNS
rxn35436	ALLTNS
rxn05682	ALLTNt2r
rxn08116	ALLTNt2r
rxn08117	ALLTTti
rxn09697	ALLTTti
rxn34488	ALLTTti
rxn08118	ALLULPE
rxn01164	ALOX15
rxn01166	ALOX5
rxn08119	ALPATE160
rxn08120	ALPATG160
rxn00002	ALPHNH
rxn01832	ALR2
rxn02862	ALSAR
rxn02248	ALSPT
rxn01122	ALTRH
rxn08123	AM3PA
rxn08124	AM4PA
rxn08884	AM6PGH
rxn02875	AMAA
rxn02009	AMAGLL
rxn11253	AMAGLL
rxn08126	AMALT1
rxn08127	AMALT2
rxn08128	AMALT3
rxn08129	AMALT4
rxn23816	AMAMT
rxn28267	AMAMT
rxn00657	AMAMTi
rxn01506	AMANAPEr
rxn01951	AMANK
rxn02312	AMAOTr
rxn01952	AMAPH
rxn00129	AMAT
rxn02743	AMCNTAH
rxn01422	AMCOXO
rxn07056	AMDH
rxn04429	AMET3OMT
rxn32317	AMETAMte
rxn34356	AMETAMte
rxn34489	AMETAMte
rxn03208	AMETCMT
rxn02414	AMETDHTCMT
rxn06799	AMETDNAMT
rxn04631	AMETMOMt
rxn04431	AMETMT
rxn14200	AMETNMT
rxn11951	AMETRNAMT
rxn09784	AMETt
rxn09826	AMETt
rxn29883	AMETt
rxn32578	AMETt
rxn09696	AMETt2
rxn01929	AMHAMT
rxn02275	AMID
rxn01843	AMID2
rxn39346	AMID2
rxn00231	AMID4
rxn03839	AMID5
rxn03509	AMMCL
rxn08130	AMMQLT8
rxn05266	AMMQT72
rxn13661	AMMQT7rev
rxn10094	AMMQT8
rxn00884	AMMT
rxn05116	AMOPBHL
rxn00130	AMPDA
rxn04037	AMPGPH
rxn08131	AMPMS2
rxn20643	AMPMS3
rxn00131	AMPN
rxn11934	AMPSO3OX
rxn03983	AMPSO3OX2
rxn05497	AMPt2
rxn00650	AMPTASECG
rxn12844	AMPTASEGC
rxn08134	AMPtex
rxn00055	AMTH3A3CPT
